text,label,scam_category,caller_type,audio_duration,urgency_level,contains_blackmail
"Hello ji Beta ghar aa gaya hoon, darwaza khol do.",0,none,family,34,low,False
Namaste ma'am Project ka review meeting kal 4 baje hai kya?,0,none,delivery_agent,54,low,False
Ji namaskar Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,relative,other_scammer,92,medium,False
"Ji namaskar Doctor appointment kal 9 baje hai, fasting rehna.",0,none,delivery_agent,47,low,False
"Special Investigation Team se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,bank_scammer,74,medium,False
"Madam ek minute Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,office_colleague,75,low,False
"Hello ma'am Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,delivery_agent,88,low,False
"Delhi Police se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,amazon,other_scammer,143,medium,False
Ji namaskar Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,police_impersonator,93,high,True
"Ji haan suniye Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,aadhaar,other_scammer,65,medium,False
"Police headquarters se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,bank_scammer,154,medium,False
"Hello sir Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,friend,53,low,False
"Ji haan suniye Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,friend,25,low,False
Aap sun rahe hain na? Aapke Aadhaar card ka istemal karke fake SIM issue ki gayi hai.,1,police_digital_arrest,police_impersonator,235,medium,False
"Namaste ma'am Doctor appointment kal 9 baje hai, fasting rehna.",0,none,doctor_clinic,57,low,False
"Namaste sir Doctor appointment kal 9 baje hai, fasting rehna.",0,none,family,65,low,False
"Hello ma'am Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,doctor_clinic,18,low,False
Hello sir Police verification complete karna zaroori hai.,1,police_digital_arrest,police_impersonator,177,medium,False
Hello ji Aapka order deliver ho chuka hai. Feedback de dena.,0,none,friend,52,low,False
Dhyan se suniye Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,police_impersonator,249,high,True
CBI se bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,police_impersonator,139,high,True
Ji namaskar Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,police_impersonator,175,high,True
"Hello ma'am Beta ghar aa gaya hoon, darwaza khol do.",0,none,delivery_agent,34,low,False
"Aap sun rahe hain na? Beta ghar aa gaya hoon, darwaza khol do.",0,none,office_colleague,82,low,False
"Sir ek minute suniye Doctor appointment kal 9 baje hai, fasting rehna.",0,none,delivery_agent,22,low,False
Namaste ma'am Aapke khilaaf legal action initiate kiya gaya hai.,1,police_digital_arrest,police_impersonator,195,medium,False
